Job Title,City,Pay,PayUnit
Kitchen Helper,"Sparwood, BC",15.00,HOUR
"Aide, Health Care","Delta, BC",29.33,HOUR
Census Enumerator,"Sudbury, ON",17.83,HOUR
Medical Secretary,"Val-d'Or, QC",20.76,HOUR
"Helper, Welder-fitter - Manufacturing","L'Assomption, QC",25.00,HOUR
Cook,"Vancouver, BC",22.00,HOUR
Sales Associate,"Victoriaville, QC",Not available,
Staff Training Co-ordinator,"Burlington, ON",Not available,
"Director, Sales And Marketing","Montréal, QC","60,000",YEAR
Food Service Supervisor,"Scarborough, ON",16.50,HOUR
Labourer - Material Handling,"Trois-Rivières, QC",Not available,
Cook,"13767 72nd AvenueSurrey, BCV3W 9Z1",16.50,HOUR
Cafeteria Supervisor,"Toronto, ON",16.00,HOUR
Trucking Company General Manager,"Brampton, ON",57.80,HOUR
Telecommunications Technician,"Québec, QC",Not available,
Daycare Supervisor,"#109 8761 84 StreetFort Saskatchewan, ABT8L 0M3",17.35,HOUR
Office Supervisor,"Maidstone, ON",26.00,HOUR
Electrical Engineer,"Longueuil, QC",Not available,
Call Centre Agent - Customer Service,"715, rue Peel Montréal, QCH3C 4H6","52,162",YEAR
Farm Labourer,"Sainte-Madeleine, QC",13.10,HOUR
Property Administrator,"North York, ON",24.04,HOUR
"Helper, Welder","Louiseville, QC",to be discussed,
Nursing Assistant (registered - Québec),"Mirabel, QC",27.00,HOUR
Nanny,"Cote-Saint-Luc, QC",13.10,HOUR
Electroneurophysiology (ENP) Technologist,"Longueuil, QC",Not available,
Customer Service Supervisor (except Financial Services),"Richmond, BC",31.00,HOUR
Siding Applicator,"Stoney Creek, ON",25.00,HOUR
"Home Support Workers, Housekeepers And Related Occupations","Saskatoon, SK",Not available,
Building Inspector,"Sherbrooke, QC","50,000",YEAR
Hardware Store Clerk - Retail,"Chicoutimi, QC",Not available,
Community Information Officer,"Lévis, QC",16.20,HOUR
Immigration Settlement Practitioner,"Sherbrooke, QC",19.21,HOUR
Roofer,"Regina, SK",To be determined depending on experience,
Administrative Assistant,"3376 Parsons Road Edmonton, ABT6N 1B5",25.45,HOUR
Masonry Pointer And Caulker,"Belleville, ON",21.00,HOUR
Bookkeeper,"Thornhill, ON",23.00,HOUR
Builder,"Laval, QC",22.15,HOUR
Production Helper,"Drummondville, QC",to be discussed,
Youth Worker - Corrections,"Charlottetown, PE",18.00,HOUR
Store Clerk,"Bracebridge, ON",Not available,
Lumber Sales Representative - Wholesale,"Cobourg, ON",Not available,
Food Service Supervisor,"85 Mt Hope stLindsay, ONK9V 5J1",15.00,HOUR
Patrol Officer - Security,"Kelowna, BC",18.00,HOUR
Food Service Supervisor,"Calgary, AB",17.00,HOUR
"Foreman/woman, Heavy-duty Equipment Operators","Cap-aux-Meules, QC","63,123",YEAR
Restaurant Cook,"2140, 8391 Alexandra RoadRichmond, BCV6X 1C3",16.00,HOUR
Telecommunications Technician,"Mississauga, ON",29.00,HOUR
Food Delivery Driver,"Québec, QC",16.00,HOUR
Corporate Chef,"1116 boulevard Saint-JosephDrummondville, QCJ2C 2C7",22.00,HOUR
Sales Supervisor - Retail,"577 Birchmount RoadScarborough, ONM1K 1P8","2,538",MONTH
Office Administrator,"8 Melanie DriveBrampton, ONL6T 4L2",25.00,HOUR
Family Physician,"Lewisporte, NL","350,000",YEAR
"Cashier, Customer Service","Fredericton, NB",12.00,HOUR
Breakfast Cook,"Les Coteaux, QC",to be discussed,
Shipping And Receiving Clerk,"Saint-Hyacinthe, QC",Not available,
"Clerk, Post Office","Surrey, BC",Not available,
Administrative Assistant - Office,"Sainte-Eulalie, QC",to be discussed,
Facilities Wirer - Telecommunications,"Adstock, QC","40,000.00",HOUR
Accounts Payable Clerk,"Longueuil, QC",Not available,
Public Works Maintenance Equipment Operators And Related Workers,"Saskatoon, SK",depends on expierence,
Fibre Optics Technologist,"147 HymusPointe-Claire, QCH9R 1E9",22.00,HOUR
General Office Worker,"417 Exeter RoadLondon, ONN6E 2Z3","51,538",YEAR
"Raker, Asphalt","Bolton, ON",30.00,HOUR
Landscape Technician,"Niagara Falls, ON",15.00,HOUR
Food Service Supervisor,"Fredericton, NB",13.00,HOUR
Telemarketer,"936 Twelfth StreetNew Westminster, BCV3M 4K6",14.60,HOUR
Roofer,"White Rock, BC",27.00,HOUR
Small Van Driver,"Surrey, BC",17.07,HOUR
Stationary Engineer,"Rogersville, NB",Not available,
Dishwasher,"Québec, QC",to be discussed,
"Handler, Materials - Manufacturing And Warehousing","Montréal, QC",16.00,HOUR
Chef De Cuisine,"Saint-Georges, QC",Not available,
Settlement Worker - Community Services,"Baie-Comeau, QC",22.82,HOUR
Lawn And Garden Equipment Technician,"Chénéville, QC",to be discussed,
Farm Labourer,"Sainte-Madeleine, QC",13.10,HOUR
"Driver, Truck","Saskatoon, SK",Not available,
Purchase Order Clerk,"Saint-Laurent, QC",to be discussed,
Food Counter Attendant,"Abbotsford, BC",14.60,HOUR
"Supervisor, Cleaning And Maintenance","Mont-Joli, QC",18.71,HOUR
Construction Estimator,"Boisbriand, QC",to be discussed,
Software Developer,"11854 90Ave Delta, BCV4C 3H6",35.50,HOUR
"Labourer, Landscape","Surrey, BC",Not available,
Sushi Preparer,"Saint-Basile-le-Grand, QC",to be discussed,
Store Clerk,"Saint-Constant, QC",Not available,
Programmer Analyst,"Québec, QC",Not available,
Cashier,"Whitehorse, YT",16.00,HOUR
Social Rehabilitation Technician,"Val-d'Or, QC",23.12,HOUR
Liaison Officer,"Mississauga, ON",25.00,HOUR
Export Company Sales Representative,"Gatineau, QC",to be discussed,
Line Cook,"15 Depot Court suite Unit-C2Saint John, NBE2J 0C2",11.70,HOUR
Census Enumerator,"Long Sault, ON",17.83,HOUR
Shift Manager - Fast Food Restaurant,"Saint-Eustache, QC",Not available,
Graphic Artist,"Sherbrooke, QC",Not available,
Sales Supervisor - Retail,"7307 Oakwood DriveNiagara Falls, ONL2E 6S5","2,570",MONTH
Assistant Store Manager,"Winnipeg, MB",Not available,
Certified Dental Assistant,"Saint-Léonard, QC",to be discussed,
"Broker, Insurance","La Tuque, QC",Not available,
Bookkeeper,"Delta, BC",26.00,HOUR
Meat Cutter - Retail Or Wholesale,"Edmonton, AB",18.00,HOUR
Light Duty Cleaner,"13209 89A AvenueSurrey, BCV3V 1B4",17.00,HOUR
Cabinetmaker,"Brampton, ON",24.50,HOUR
Administrative Support Officer,"Kirkland, QC",Not available,
Cook,"Vancouver, BC",16.00,HOUR
Construction Labourer,"Saint-Nicolas, QC",21.00,HOUR
Nail Care Technician,"435 Trunk Road suite 108Duncan, BCV9L 2P5",15.00,HOUR
Sous-chef,"Charlottetown, PE",16.00,HOUR
Water Distribution Manager,"Kelowna, BC",Not available,
Administrative Assistant - Office,"Saint-Lin-Laurentides, QC",16.00,HOUR
Administrative Assistant,"Sherbrooke, QC",19.00,HOUR
Shop Clerk,"LaSalle, QC",to be discussed,
Chef,"Québec, QC",to be discussed,
Lift Truck Mechanic,"Terrebonne, QC",to be discussed,
Food Service Supervisor,"130 Country Village Rd NECalgary, ABT3K 6B8",16.90,HOUR
Electrical Engineering Technologist,"Saint-Jérôme, QC",Not available,
"Handler, Materials","Saint-Éphrem-de-Beauce, QC",21.17,HOUR
Construction Labourer,"Vancouver, BC",Not available,
Heavy-duty Equipment Mechanic,"Scotsburn, NS",20.00,HOUR
Early Childhood Educator (E.C.E.),"Québec, QC",to be discussed,
Sports Leader,"Cote-Saint-Luc, QC",23.08,HOUR
Babysitting Caregiver,"Vancouver, BC",14.60,HOUR
Restaurant Supervisor,"Thunder Bay, ON",17.25,HOUR
"Estimator, Construction","228 wilkinson rdBrampton, ONL6T 4N7",32.21,HOUR
"Salesperson, Jewellery - Retail","Saint-Eustache, QC",13.10,HOUR
Supermarket Department Supervisor,"LaSalle, QC",to be discussed,
Administrative Support Officer,"Québec, QC",Not available,
Network Administrator,"Saint-Jean-sur-Richelieu, QC",21.00,HOUR
Food Service Supervisor,"South St Burger - 261055 Crossiron BlvdRocky View, ABT4A 0G3",16.90,HOUR
Food Service Attendant,"Saint-Hyacinthe, QC",Not available,
Registered Nurses And Registered Psychiatric Nurses,"Surrey, BC",32.02,HOUR
Farm Supervisor,"Moose Creek, ON",20.00,HOUR
Warehouse Shipping Clerk,"LaSalle, QC",16.00,HOUR
Construction Electrician,"Surrey, BC",28.50,HOUR
Human Resources Managers,"Swift Current, SK","46,470",YEAR
Psychologist,"Saint-Hubert, QC",to be discussed,
Construction Project Manager,"Montréal, QC",Not available,
Office Administrator,"North York, ON",25.50,HOUR
Retail Sales Manager,"Surrey, BC",32.00,HOUR
Nursing Assistant (registered - Québec),"Québec, QC",to be discussed,
Accounts Payable Clerk,"Aldergrove, BC",22.00,HOUR
Hardware Store Clerk,"Salaberry-de-Valleyfield, QC",Not available,
Client Care Attendant - Home Care,"Edmonton, AB",16.00,HOUR
Industrial Sewing Machine Operator,"1 Angus Macquarrie Dr.Antigonish, NSB2G 2L4",13.55,HOUR
Software Engineer,"Burnaby, BC",62.50,HOUR
Office Administrative Assistant,"Unit 203B 8556 Scott RoadSurrey, BCV3W 3N5",25.00,HOUR
Call Centre Agent - Technical Support,"based in Saskatoon, SK",11.50,HOUR
"Assistant Manager, Restaurant","The Bay Centre 1150 Douglas StreetVictoria, BCV8W 3M9","3,467",MONTH
"Senior Managers - Health, Education, Social And Community Services And Membership Organizations","Burnaby, BC",50.00,HOUR
Sexologist,"Québec, QC",70.00,HOUR
Architectural Technologist,"McKellar Island, ON",18.00,HOUR
Driver's Licence Examiner,"2470 Dougall Ave.Windsor, ONN8X 1T2",23.21,HOUR
Factory Labourer - Manufacturing,"Montmagny, QC",to be discussed,
Computer Projects Manager,"Montréal, QC",Not available,
Materials Testing Technician,"Kitchener, ON",20.00,HOUR
Executive Sous-chef,"Vancouver, BC","41,000",YEAR
Child Care Provider - Private Home,"Coquitlam, BC",15.00,HOUR
Concrete Finisher,"Calgary, AB",30.50,HOUR
Lumber Sales Representative - Wholesale,"Aurora, ON",Not available,
Price Management Analyst,"Boucherville, QC",Not available,
Cleaner,"Thetford Mines, QC",15.00,HOUR
Food Service Worker,"Trois-Rivières, QC",13.50,DAY
Investment Consultant,"Montréal, QC",Not available,
Home Child Care Provider,"Calgary, AB",15.00,HOUR
Food Service Worker,"Québec, QC",Not available,
Ice Cream Counter Attendant,"Green Gables, PE",13.25,HOUR
Administrative Assistant,"Longueuil, QC",to be discussed,
Server - Food And Beverage Services,"Gatineau, QC",to be discussed,
Administrative Assistant - Office,"2385 boulevard ThimensSaint-Laurent, QCH4R 1T4",17.00,HOUR
Food Service Supervisor,"Bedford, NS",15.50,HOUR
"Clerk, Retail Sales","Québec, QC",16.00,HOUR
"Counsellor, Camp","Strathroy, ON",14.25,HOUR
"Project Manager, Interior Design","Moncton, NB",Not available,
Food Service Supervisor,"360 Norwich avenueWoodstock, ONN4S 3W2",16.00,HOUR
"Farm Worker, Poultry","Abbotsford, BC",15.00,HOUR
Cashiers,"Parry Sound, ON",Not available,
Personal Care Aide - Home Care,"747 East 8th Avenue suite 309Vancouver, BCV5T 1T3",25.00,HOUR
General Office Worker,"269 Main StreetWinnipeg, MBR3C 1B2","51,538",YEAR
Material Handler,"Mascouche, QC",Not available,
Freight Handling Foreman/woman,"Surrey, BC",34.50,HOUR
"Assistant Manager, Restaurant","Terrace, BC",26.00,HOUR
Shop Clerk,"Québec, QC",14.50,HOUR
Food And Beverage Server,"North West River, NL",14.00,HOUR
Non-technical Project Manager,"Laval, QC","50,000",YEAR
Sprayer - Logging And Forestry,"Saint-Rémi-d'Amherst, QC",17.00,HOUR
Water And Wastewater Technician,"Sechelt, BC",$33.53 hourly,
Foamed Insulation Applicator,"210 Lougheed RoadKelowna, BCV1V 2M1",28.03,HOUR
Food Service Supervisor,"Highway#4 & Highway#5 Meadow Lake, SKS9X 1X4",14.00,HOUR
Data Analyst - Informatics And Systems,"Richmond, BC",30.00,HOUR
Computer Application Programmer,"Shawinigan, QC",Not available,
Sales Consultant - Retail,"Kingston, ON",Not available,
Long Haul Truck Driver,"Burnaby, BC",25.50,HOUR
Telephone Sales Agent,"Lévis, QC",16.00,HOUR
Courier Driver,"Surrey, BC",25.00,HOUR
Food Store Department Manager - Retail,"Eastman, QC",to be discussed,
Nurse,"Saint-Hyacinthe, QC",to be discussed,
Technical Sales Representative - Wholesale,"Hamilton, ON",28.00,HOUR
Census Enumerator,"Onoway, AB",17.83,HOUR
Electrical Engineering Technician,"Coaticook, QC",to be discussed,
Second Cook,"Radisson, QC",18.88,HOUR
Warehouse Shipping Clerk,"Trois-Rivières, QC",13.39,HOUR
"Designer, Industrial","Saint-Augustin-de-Desmaures, QC",to be discussed,
Mechanic Helper,"Maple Ridge, BC",16.00,HOUR
Carpenter,"2017 London StreetNew Westminster, BCV3M 3E6",28.00,HOUR
"Assembler, Aluminum Doors And Windows","Huntsville, ON",Not available,
Building Construction Estimator,"Québec, QC",to be discussed,
"Operator, Pallet Lift","Lévis, QC",18.00,HOUR
Meat Packing Supervisor,"Calgary, AB",26.44,HOUR
Painter Helper - Construction,"Surrey, BC",20.00,HOUR
Server - Food And Beverage Services,"Surrey, BC",15.50,HOUR
Farm Manager,"Langley, BC",28.85,HOUR
Sorter - Recyclable Materials,"Kentville, NS",13.36,HOUR
Shipping Clerk,"Montréal, QC",to be discussed,
Motel Managing Supervisor,"Camrose, AB",23.00,HOUR
Homemaker,"Boisbriand, QC",17.00,HOUR
Mechanical Assembler,"Québec, QC",to be discussed,
"Program Supervisor, Sports","Cote-Saint-Luc, QC",23.08,HOUR
Retail District Manager,"Aurora, ON",Not available,
Food Service Supervisor,"Maple, ON",16.00,HOUR
Food Service Supervisor,"2351 7 AveFort Macleod, ABT0L 0Z0",15.50,HOUR
Cook,"16030 24 Ave #130, SurreySurrey, BCV3Z 0R5",16.00,HOUR
Nurse,"Dollard-des-Ormeaux, QC",to be discussed,
Bus Driver,"Terrebonne, QC",to be discussed,
Aircraft Maintenance Engineer (except Avionics),"Calgary, AB",34.40,HOUR
General Labourer - Manufacturing,"St. Catharines, ON",Not available,
Construction Craft Labourer,"Laval, QC",Not available,
Cook,"2940 Calgary TrailEdmonton, ABT6J 7C2",15.00,HOUR
Home Child Care Provider,"Surrey, BC",15.00,HOUR
Purchasing Officer,"1272 Pacific BlvdVancouver, BCV6Z 2V1",27.00,HOUR
Line Cook,"Labrador City, NL",14.00,HOUR
Marketing Manager,"4400 Hazelbridge WayRichmond, BCV6X 3R8",35.00,HOUR
Food Store Clerk - Retail,"Delson, QC",13.55,HOUR
Housekeeping Attendant,"Saint-Laurent, QC",to be discussed,
Administrative Manager,"Brampton, ON",34.00,HOUR
"Cook, Ethnic Foods","Kelowna, BC",15.00,HOUR
Business Development Officer,"Unit 108, 14620 64 AVESurrey, BCV3S 1X7",38.50,HOUR
Environmental Biologist,"Québec, QC",to be discussed,
Fruit Tree Pruner,"Kingsville, ON",14.39,HOUR
Greenhouse Worker,"Kingsville, ON",14.39,HOUR
Customer Service Agent,"Salaberry-de-Valleyfield, QC",13.93,HOUR
Customer Service Agent,"Nanaimo, BC",Not available,
Roofers And Shinglers,"Saskatoon, SK",depended on Experience,
Tire Repairer,"Saint-Jean-sur-Richelieu, QC",14.00,HOUR
Sales Consultant - Retail,"Québec, QC",Not available,
"Field Service Technician, Electronic Products","Grand Falls, NB","38,000",YEAR
"Manager, Production Operations","La Baie, QC",to be discussed,
Design Engineer - Mechanical,"Montréal, QC",Not available,
"Mechanic, Farm Machinery","Plessisville, QC",to be discussed,
"Meat Clerk, Supermarket","Orléans, ON",14.25,HOUR
Driver's Licence Examiner,"Timiskaming Square RR#2 Site 2-152 suite 4ANew Liskeard, ONP0J 1P0",23.21,HOUR
Nanny,"Oakville, ON",15.00,HOUR
Heavy Equipment Combination Mechanic,"Bay du Vin, NB",Not available,
Food Store Manager,"Victoria, BC",Not available,
Drugstore Clerk,"Cap-aux-Meules, QC",to be discussed,
Dishwasher,"Granby, QC",13.62,HOUR
"Body Repairer Apprentice, Motor Vehicles","Boisbriand, QC",16.50,HOUR
Retail Merchandiser,"Terrebonne, QC",Not available,
Accountant,"Montréal, QC",Not available,
Sales Consultant - Retail,"Joliette, QC",Not available,
Automobile Salesperson,"Lévis, QC",Not available,
Cook,"Unit 102 1990 Columbia Avenue Castlegar, BCV1N 2W7",15.00,HOUR
Census Enumerator,"Carseland, AB",17.83,HOUR
Hotel Night Auditor,"Estérel, QC",17.17,HOUR
Cook,"Surrey, BC",18.00,HOUR
Painter,"Fredericton, NB",14.00,HOUR
"Cook, Ethnic Foods","Winnipeg, MB",13.00,HOUR
Production Helper - Food And Beverage Processing,"L'Ancienne-Lorette, QC",to be discussed,
Child Caregiver - Private Home,"Aurora, ON",15.00,HOUR
Home Child Care Provider,"Surrey, BC",15.00,HOUR
Cleaner,"Yorkton, SK",16.00,HOUR
Truck Driver,"1510 DREW RD suite 9Mississauga, ONL5S 1W7",24.00,HOUR
Family Caregiver,"Oakville, ON",14.25,HOUR
Bookkeeper,"4501 North RoadBurnaby, BCV3N 4R7",40.00,HOUR
"Clerk, Customer Service","Cowansville, QC",to be discussed,
Director Of Maintenance,"Surrey, BC","50,000",YEAR
Cook,"Prince George, BC",17.50,HOUR
"Driver, Dump Truck","Saint-Henri-de-Lévis, QC",to be discussed,
Sales Order Clerk,"Cap-d'Espoir, QC",to be discussed,
Utility Locator,"Whitby, ON",25.00,HOUR
Long Haul Truck Driver,"Bolton, ON",24.35,HOUR
Assistant Accounting Manager,"Verchères, QC",to be discussed,
Sales Representative - Retail,"Burlington, ON",Not available,
Food Counter Attendant,"Edmonton, AB",15.00,HOUR
Documentalist,"Rivière-du-Loup, QC",Not available,
Home Child Care Provider,"Thornhill, ON",15.00,HOUR
Farm Labourer,"Pit-chez-Gosselin, QC",13.50,HOUR
Addictions Counsellor,"St. John's, NL",Not available,
Grocery Clerk Supervisor,"Québec, QC",14.50,HOUR
Daycare Teacher,"Sainte-Thérèse, QC",to be discussed,
Long Haul Truck Driver,"Edmonton, AB",27.50,HOUR
Bookkeeping Clerk,"Gander, NL","30,000",YEAR
Regional Sales Manager,"Ottawa, ON",Not available,
Food Service Supervisor,"1030 Keewatin StWinnipeg, MBR2R 2E3",15.00,HOUR
Cabinet Assembler - Furniture Manufacturing,"Hawkesbury, ON",Not available,
Department Supervisor - Retail,"Chilliwack, BC",Not available,
Early Childhood Educator (E.C.E.),"286 Island HighwayVictoria, BCV9B 1G5",20.00,HOUR
Maintenance Planner,"Kingsey Falls, QC",Not available,
Retail Store Supervisor,"1675 Fairview RdPenticton, BCV2A 6A6",20.50,HOUR
Licensed Practical Nurse (L.P.N.),"Salmon Arm, BC",28.15,HOUR
Census Enumerator,"Edmonton, AB",17.83,HOUR
Administrative Assistant,"Vancouver, BC",22.00,HOUR
Reception Clerk,"Saint-Michel-des-Saints, QC",16.00,HOUR
Short Order Cook,"Québec, QC",18.00,HOUR
Home Child Care Provider,"Etobicoke, ON",15.00,HOUR
Managing Supervisor - Retail,"Beloeil, QC",17.00,HOUR
Drywall Installer And Finisher,"Burnaby, BC",27.50,HOUR
Motor Vehicle Parts Clerk,"Victoriaville, QC",to be discussed,
Landscape Worker,"OttawaKars, ONK0A 2E0",18.00,HOUR
Production Helper,"Sherbrooke, QC",to be discussed,
Civil Engineer,"Longueuil, QC",Not available,
Bus Driver - Special Needs Passengers,"Trois-Rivières, QC",15.00,HOUR
Retail Store Supervisor,"3102 - 901 - 64 Av NE Calgary, ABT2E 7P4",20.00,HOUR
Warehouseperson,"Etobicoke, ON",Not available,
Cook,"Saint-Hyacinthe, QC",to be discussed,
Bookkeeper,"Toronto, ON",22.00,HOUR
Bus And Transport Mechanic,"Barrie, ON",33.04,HOUR
Home Support Worker,"Thornhill, ON",18.00,HOUR
Hairdresser,"Scarborough, ON",15.25,HOUR
Head Cashier,"Dartmouth, NS",Not available,
Labourer - Material Handling,"Prince Albert, SK",Not available,
Press Brake Operator - Metal Products Manufacturing,"Richmond, BC",18.00,HOUR
Marble Setter,"North York, ON",34.50,HOUR
Cook,"L'Ancienne-Lorette, QC",18.00,HOUR
Office Assistant,"Elliot Lake, ON",15.39,HOUR
Customer Services Representatives - Financial Institutions,"Glaslyn, SK",19.39,HOUR
"Labourer, General - Manufacturing","Mississauga, ON",18.00,HOUR
Census Enumerator,"Dundee, NB",17.83,HOUR
Front Desk Agent,"Bromont, QC",to be discussed,
Cashier,"Medicine Hat, AB",Not available,
"Automotive Service Technicians, Truck And Bus Mechanics And Mechanical Repairers","Saskatoon, SK",dependant on experience,
Elementary School Teacher,"Rimouski, QC",to be discussed,
Managing Supervisor - Retail,"Regina, SK",Not available,
Lift Truck Operator,"Gatineau, QC",to be discussed,
Construction Project Manager,"Mascouche, QC",Not available,
"Installer, Kitchen Cupboards And Vanities","Québec, QC",to be discussed,
Roofer,"Unit 101 – 12167 78 AvenueSurrey, BCV3W 5B6",27.00,HOUR
Food Service Supervisor,"4632 Bowness  Road NWCalgary, ABT3B 0B3",16.90,HOUR
Customer Information Service Representative - Retail,"Berthier-sur-Mer, QC",14.50,HOUR
Long Haul Truck Driver,"Williams Lake, BC",26.00,HOUR
"Superintendent, Building","BATHURST  ST. AND CLARKE AVE.Thornhill, ONL4J 4P8",18.00,HOUR
Heavy-duty Equipment Mechanic,"Redvers, SK",Not available,
Traditional Chinese Medicine Practitioner,"Brandon, MB",16.50,HOUR
Nanny,"Thornhill, ON",15.00,HOUR
"General Manager - Financial, Communications And Other Business Services","Mississauga, ON",60.00,HOUR
Shipping Agent,"Terrebonne, QC",to be discussed,
Dog Grooming Establishment Manager,"Calgary, AB",35.64,HOUR
Cleaning Supervisor,"Delta, BC",27.00,HOUR
Lifeguard,"Repentigny, QC",18.46,HOUR
Material Handler,"Sherbrooke, QC",Not available,
Non-technical Project Manager,"Amqui, QC",to be discussed,
Administrative Assistant,"Surrey, BC",25.00,HOUR
"Farm Worker, Vegetables","Redcliff, AB",15.42,HOUR
Spray Painter,"Saint-Georges, QC",to be discussed,
Agronomist,"High River, AB",Not available,
Department Manager - Retail,"Charlemagne, QC",to be discussed,
General Construction Labourer,"LaSalle, QC",to be discussed,
Restaurant Cashier,"Longueuil, QC",Not available,
"Technical Assistant, Pharmacy","Saint-Alphonse-Rodriguez, QC",to be discussed,
Seamstress,"Saint-Henri-de-Lévis, QC",15.00,HOUR
Lift Truck Operator,"Anjou, QC",18.00,HOUR
"Labourer, Landscape","Chilliwack, BC",17.00,HOUR
Customer Service Assistant,"Burnaby, BC","50,000",YEAR
"Supervisor, Ticket Clerks","Calgary Stampede-starts July 1/2021Calgary, ABT2P 2K8",21.00,HOUR
Cabinetmaker,"Montréal-Est, QC",to be discussed,
Customer Service Sales Clerk,"Québec, QC",13.10,HOUR
Public Health Nursing Supervisor,"Saskatoon, SK",44.05,HOUR
Material Keeper,"Québec, QC",22.00,HOUR
"Machinist, CNC (computer Numerical Control)","Swift Current, SK","70,000",YEAR
Hairstylist,"2331 66 Street NWEdmonton, ABT6K 4B4",16.00,HOUR
Child Caregiver - Private Home,"Thornhill, ON",15.00,HOUR
Welder,"Saskatoon, SK",Not available,
Upholsterer Helper,"Calgary, AB",18.00,HOUR
Bicycle Mechanic,"Montréal, QC",16.00,HOUR
Construction Superintendent,"Laval, QC",to be discussed,
Cook,"550 university driveLethbridge, ABT1J 4T3",15.00,HOUR
Bartender,"Prince Albert, SK",Not available,
"Maintenance Mechanic, Production Machinery","Sorel, QC",to be discussed,
"Consultant, Information Technology (IT)","Lévis, QC",Not available,
Excavation Worker,"L'Orignal, ON",15.00,HOUR
Baker,"Brampton, ON",24.25,HOUR
Community Counsellor - Social Services,"Trois-Rivières, QC",to be discussed,
"Labourer, Dairy Farm","Alfred, ON",14.25,HOUR
Community Counsellor - Social Services,"Montréal, QC",20.00,HOUR
Cook,"9A Samson Community Mall,Navarre, ABT0C 1N0",15.50,HOUR
Production Chief,"Causapscal, QC",to be discussed,
"Dispatcher, Trucks","Trois-Rivières, QC",to be discussed,
Hotel Receptionist,"Trois-Rivières, QC",to be discussed,
Web Developer,"6855 COLUMBUS RDMississauga, ONL5T 2G9",35.00,HOUR
Cook,"214 stonebridge blvd Saskatoon, SKS7T 0J1",13.50,HOUR
Purchase Order Clerk,"Saint-Augustin-de-Desmaures, QC",16.00,HOUR
Financial Controller,"Lac-au-Saumon, QC",to be discussed,
"Cashier, Customer Service","3777 Keele StreetNorth York, ONM3J 1N5",14.25,HOUR
"Clerk, Meat Counter","Salaberry-de-Valleyfield, QC",to be discussed,
Office Clerk,"Amos, QC",to be discussed,
Psychologist,"Brossard, QC",to be discussed,
Construction Project Manager,"Longueuil, QC",25.00,HOUR
Chicken Catcher,"Saint-Gabriel-de-Brandon, QC",$5.50 per piece,
Systems Testing Technician,"Burlington, ON","34,000",YEAR
Vinyl Lettering Artist,"Saint-Jean-sur-Richelieu, QC",to be discussed,
Buyer - Retail,"Markham, ON",25.00,HOUR
Dishwasher,"Notre-Dame-du-Portage, QC",to be discussed,
Computer Network Technician,"Montréal, QC",23.12,HOUR
Restaurant Manager,"Surrey, BC",27.00,HOUR
Chief Steward - Ship,"Rimouski, QC","35,800",YEAR
Cashier,"Chertsey, QC",Not available,
Line Cook,"Surrey, BC",14.60,HOUR
Receptionist,"Saint-Dominique, QC",Not available,
Production Helper - Food And Beverage Processing,"Laval, QC",16.93,HOUR
Chef,"930 Dundas StreetWoodstock, ONN4S 8X6",21.59,HOUR
Food Service Supervisor,"Sparwood, BC",19.00,HOUR
Farm Labourer,"Donnacona, QC",13.27,HOUR
Bread Route Driver,"Sherbrooke, QC",14.00,HOUR
Special Education Technician - Social And Community Services,"Rimouski, QC",16.89,HOUR
Housekeeping Attendant,"Saint-Laurent, QC",18.97,HOUR
Greenhouse Worker,"2001 Peterson LaneRuthven, ONN0P 2G0",14.39,HOUR
Hotel Receptionist,"Baie-Comeau, QC",to be discussed,
Carpenter,"Nanaimo, BC",28.00,HOUR
Industrial Engineering Technologist,"Montréal, QC","47,990",YEAR
"Maintenance Supervisor, Processing And Packaging Equipment","Grand Falls, NB",Not available,
Factory Maintenance Man/woman,"Bécancour, QC",19.00,HOUR
Labourer - Wood Processing,"583 boul. Grand Bernier NordSaint-Jean-sur-Richelieu, QCJ3B 8K1",18.00,HOUR
"Machine Operator, Woodworking","Saint-Isidore-de-Clifton, QC",25.22,HOUR
Food Service Supervisor,"Nanaimo, BC",16.50,HOUR
Carpenter-joiner,"Sainte-Agathe-des-Monts, QC",to be discussed,
Child Caregiver - Private Home,"Stoney Creek, ON",15.00,HOUR
"Operator, Pipe Extrusion Machine - Plastic Manufacturing","Thetford Mines, QC",18.50,HOUR
"Carpenter, Concrete Forms","Concord, ON",40.32,HOUR
Certified Dental Assistant,"Brossard, QC",17.00,HOUR
Administrative Technician,"Québec, QC",Not available,
Teacher For Persons With Intellectual Disabilities,"Sainte-Catherine, QC",19.00,HOUR
Delivery Driver,"Shawinigan-Sud, QC",to be discussed,
Store Clerk,"Saint-Mathias-sur-Richelieu, QC",Not available,
Delivery Driver,"Dawson Creek, BC",16.00,HOUR
Mental Health Support Worker,"Halifax, NS",17.23,HOUR
"Branch Manager - Banking, Credit And Investment","Cambridge, ON","38,000",YEAR
Daycare Supervisor,"St. Albert, AB",16.00,HOUR
Food Service Supervisor,"310 CIRCLE DRIVE WESTSaskatoon, SKS7L 2Y5",14.10,HOUR
"Driver, Truck","Mirabel, QC",to be discussed,
Heavy Diesel Engine Mechanic,"Salmon Arm, BC",30.00,HOUR
"Supervisors, Logging And Forestry","Abbotsford, BC",24.00,HOUR
